1-а Повздовжня вулиця;1-я Повздовжняя улица
Першотравневий провулок;Першотравневый переулок
Печерська вулиця;Печерская улица
Печерська площа;Печерская площадь
Печерський провулок;Печерский переулок
Південна вулиця;Пивденная улица
Північна вулиця;Пивничная улица
Північна-бічна вулиця;Пивничная-бочная улица
Порічкова вулиця;Поречковая улица
Похила вулиця;Похилая улица
Прикордонна вулиця;Прикордонная улица
провулок Ботанічний Сад;переулок Ботаничный Сад
провулок Джерело;переулок Джерело
провулок Каменярів;переулок Каменяров
Пролісковий провулок;Пролисковый переулок
Промениста вулиця;Променистая улица
Променистий провулок;Променистый переулок
Промислова вулиця;Промысловая улица
Промисловий провулок;Промысловый переулок
проспект Миколи Бажана;проспект Миколы Бажана
Пряшівська-бічна вулиця;Пряшевская-бочная улица
Пташиний провулок;Пташиный переулок
Радянська вулиця;Радянская улица
Ринкова вулиця;Рынковая улица
Різдвяна вулиця;Риздвяная улица
Робітнича вулиця;Работничья улица
Рожева вулиця;Рожевая улица
Рожевий провулок;Рожевый переулок
Садівнича вулиця;Садовничья улица
Сасівська вулиця;Сасовская улица
Світанкова вулиця;Свитанковая улица
Святкова вулиця;Святковая улица
Селищна вулиця;Селищная улица
Селянська вулиця;Селянская улица
Селянський вʼїзд;Селянский въезд
Селянський провулок;Селянский переулок
Серпнева вулиця;Серпневая улица
Січнева вулиця;Сичневая улица
Солена вулиця;Солёная улица
Срібляста вулиця;Среблястая улица
Срібна вулиця;Сребная улица
Ставкова вулиця;Ставковая улица
Старомлинська вулиця;Старомлынская улица
Степова вулиця;Степовая улица
Студентська вулиця;Студентская улица
Студентська набережна;Студентская набережная
Східна вулиця;Схидная улица
Табірна вулиця;Таборная улица
Технічна вулиця;Техничная улица
Травнева вулиця;Травневая улица
Трояндова вулиця;Трояндовая улица
Туристичний провулок;Туристичный переулок
Тютюнова вулиця;Тютюновая улица
Угорська вулиця;Угорская улица
Фрідєшівська вулиця;Фридешевская улица
Цегельна вулиця;Цегельная улица
Цегельний провулок;Цегельный переулок
Червнева вулиця;Червневая улица
Червона вулиця;Червоная улица
Червоногірна вулиця;Червоногорная улица
Червоногірська вулиця;Червоногорская улица
Шпаковий провулок;Шпаковый переулок
Юнацький провулок;Юнацкий переулок
Ялинкова вулиця;Ялынковая улица
Ялинковий провулок;Ялынковый переулок
